residence	job	birthdate	current_location	imei	ssn	company	registration	name	username	user_id	mail
"024 Austin Throughway Apt. 956
Lake Elizabeth, VT 96034"			(Decimal('-37.3871205'), Decimal('63.057817'))	8630330696303481297	045-68-8610	Fuentes-Wilson	05/24/2018, 00:00:00	Elizabeth Brooks	oconnorsandra	698	ajoseph@yahoo.com
		1986-04-01	(Decimal('-9.8577275'), Decimal('10.693479'))	863033069630348487	655-75-2092	Gomez Ltd	2018/12/10	Spencer Brooks	lwright	15	michaelyates@yahoo.com
"219 Sarah Causeway
Sandraland, NV 51026"			(Decimal('-69.389991'), Decimal('-154.055961'))	8630330696303482485	047-42-5809	Robinson and Sons	13 Mar 2024	Monica Mendoza	seangarner	2339	joneschristina@hotmail.com
			(Decimal('86.206030'), Decimal('-46.129473'))	359043379931766320	611-26-7229	Bowman, White and Diaz	2022-09-09	James Hurley MD	anthonytucker	777	angelavaughan@gmail.com
"55553 Jennifer Hollow Suite 158
Lake Crystal, WV 78171"			(Decimal('15.107049'), Decimal('150.404188'))	3590433799317661461	313-91-3441	Coleman-Riley	2023/10/22	Anthony Sherman	warnersean	1966	mcgeealexander@gmail.com
	Secondary school teacher	1926-07-09	(Decimal('-62.893271'), Decimal('120.132687'))	8630330696303481099	767-56-5426	Wilson, Lynch and Cannon	2019/07/26	Erika Graham	otaylor	2262	jonesjoshua@yahoo.com
	Tax adviser	1966-07-18	(Decimal('15.119466'), Decimal('155.475601'))	8630330696303481735	825-16-5513	Greene and Sons	08/19/2019, 00:00:00	Dale Richardson	brooke40	1052	anitaryan@gmail.com
		1951-04-28	(Decimal('6.8247265'), Decimal('162.997530'))	8630330696303482154	338-04-8260	Potter and Sons	2019/09/10	Tony Trevino MD	hartmanamber	2005	nicholas86@yahoo.com
"9710 Mcgrath Corners Apt. 513
Maureenburgh, VT 68359"			(Decimal('-34.565249'), Decimal('115.155024'))	3590433799317661628	577-30-3469	Wright-Stephens	03/07/2020, 00:00:00	Jessica Moore	william25	2313	jjohnson@yahoo.com
			(Decimal('75.986987'), Decimal('-56.630055'))	863033069630348396	337-99-2650	Merritt, Murphy and Allen	28 Oct 2018	Regina Turner	dsmith	159	floresnancy@yahoo.com
			(Decimal('-11.012556'), Decimal('-1.272172'))	863033069630348321	846-80-6590	Ward and Sons	2021-10-09	Anthony Calhoun	jennifermora	309	ambermcdonald@hotmail.com
	Youth worker			863033069630348461	743-37-0565	Lewis and Sons	2021/01/26	David Park	tracy20	2238	nicolemartin@gmail.com
"6327 Nancy Crossing
Patelmouth, LA 33059"		2023-02-20	(Decimal('-69.668367'), Decimal('-155.237205'))	8630330696303481412	227-31-4001	Cooper LLC	2018-10-02	Joshua Martin	sharon33	1345	laurasullivan@hotmail.com
			(Decimal('23.362694'), Decimal('-99.036474'))	359043379931766551	280-16-7565	Henry, Lee and Garcia	12/20/2017, 00:00:00	Alan Rodgers	jamesthompson	2484	whitneyregina@yahoo.com
"82286 Clements Lane
Lake Jessica, KY 94554"		1946-04-21	(Decimal('-83.380186'), Decimal('63.362652'))	3590433799317662386	021-56-6461	Gibson and Sons	2019-07-13	Andrew Kelley	brian12	1230	scottrodriguez@gmail.com
		1969-07-24	(Decimal('27.551450'), Decimal('78.419626'))	359043379931766437	366-17-5670	Burns, Thompson and Benson	02/28/2024, 00:00:00	Christopher Sandoval	nwu	2386	david47@gmail.com
"Unit 7728 Box 8484
DPO AE 57008"			(Decimal('-58.002618'), Decimal('-31.988541'))	8630330696303481701	451-36-0245	Lopez, Davis and Graves	2024-02-13	Sharon Walker	parklisa	2518	pzamora@yahoo.com
"02030 Sharon Ways
Lisaberg, OR 49383"	Chemist, analytical	1937-10-08	(Decimal('-38.790041'), Decimal('10.313251'))	359043379931766809	483-46-1292	Bonilla-Burke	01/20/2022, 00:00:00	Cody Gonzalez	matthew56	968	wilsonisabella@yahoo.com
			(Decimal('44.8764155'), Decimal('-147.397413'))	8630330696303481438	468-60-5726	Johnson PLC	2023/03/28	James Olson	mia16	2349	jamesday@yahoo.com
	Structural engineer		(Decimal('-35.145215'), Decimal('8.530863'))	359043379931766213	675-57-7695	Phillips, Soto and Miller	2020-11-13	Erin Prince	margaretmiller	586	ofitzgerald@hotmail.com
		2021-11-22		359043379931766981	238-45-6201	Flores-Price	12/04/2019, 00:00:00	Erin Moore	bsmith	1317	lewisdonald@hotmail.com
	Senior tax professional/tax inspector		(Decimal('23.8193135'), Decimal('86.848542'))	863033069630348560	884-58-2093	Tucker and Sons	2022/07/21	Shane Gill	codystone	412	garyarmstrong@yahoo.com
		1934-04-23	(Decimal('-72.409417'), Decimal('-22.025051'))	863033069630348669	769-04-8830	Jones Inc	27 Dec 2022	Sean Thomas	erika82	1	russellrachael@yahoo.com
"27170 Robert Meadows Suite 292
North Dorothychester, UT 52471"		1994-02-22		359043379931766445	246-13-3690	Smith Group	24 Oct 2021	Jessica Thomas	crystalbrown	2426	lyonsmelissa@yahoo.com
	Engineer, automotive		(Decimal('-27.027002'), Decimal('4.662620'))	3590433799317661016	291-25-3171	Russell Inc	12/09/2017, 00:00:00	Robert Jarvis	vyoung	2398	bjennings@yahoo.com
		1959-11-27	(Decimal('-52.376616'), Decimal('-96.516163'))	3590433799317661099	407-98-6811	Norton-Blankenship	2024-03-05	Alexander King	lori91	1126	zwilliams@gmail.com
	Banker	1986-07-07	(Decimal('17.6948575'), Decimal('-78.768208'))	863033069630348073	343-18-4089	Bray-Kramer	08/18/2023, 00:00:00	Toni Hess	taylorcourtney	1965	olsonwilliam@gmail.com
		1949-03-18	(Decimal('-33.4317955'), Decimal('-52.485543'))	359043379931766445	407-65-6454	Brown, Collins and Norman	2018-03-09	Timothy Jackson	brandon81	2112	hoffmanantonio@hotmail.com
			(Decimal('-29.084888'), Decimal('-151.634620'))	8630330696303482402	461-31-5395	Howard Inc	03 Dec 2022	Kelsey Johnson	melissasanchez	856	ujones@gmail.com
			(Decimal('27.0782495'), Decimal('-159.573108'))	8630330696303481248	145-14-5263	Kim LLC	2018/07/09	Ryan Rose	clarklarry	2262	rickyhill@hotmail.com
		2016-03-04	(Decimal('1.4652515'), Decimal('72.367225'))	8630330696303481099	013-80-3116	Neal PLC	2020-09-09	Sheila Scott	marcus21	106	melissa16@yahoo.com
	Equality and diversity officer	2016-07-16	(Decimal('27.8206425'), Decimal('-97.692256'))	359043379931766080	847-97-2336	Mendoza, Lin and Torres	26 Oct 2022	Jamie Sheppard	williamshenry	932	jason83@hotmail.com
	Scientist, clinical (histocompatibility and immunogenetics)	2004-10-10	(Decimal('-36.9933625'), Decimal('43.886806'))	8630330696303481255	487-61-1728	Moore, Jackson and Davidson	31 Aug 2024	Curtis Jackson	jamesross	1744	stephanie08@gmail.com
"20076 Joshua Knolls Apt. 753
South Gregorytown, GA 73726"			(Decimal('67.2501375'), Decimal('158.552627'))	8630330696303481677	475-18-8951	Dennis Group	2018-07-06	Patrick Nguyen	lewismark	1549	hunttracy@yahoo.com
	Quantity surveyor		(Decimal('87.8722675'), Decimal('-119.675532'))	863033069630348248	782-15-3904	Lutz LLC	17 Jan 2018	James Miller	vtran	1071	bbeck@gmail.com
		1979-04-22	(Decimal('-58.1888835'), Decimal('-36.397896'))	359043379931766890	332-44-6813	Adams-Garcia	2024/06/13	Michael Mcfarland	stephanie58	732	sabrina43@yahoo.com
